Datum,IC_Bedden_COVID,IC_Bedden_Non_COVID,Kliniek_Bedden,IC_Nieuwe_Opnames_COVID,Kliniek_Nieuwe_Opnames_COVID
06-04-2021,750,387.0,1745.0,44.0,207.0
05-04-2021,746,369.0,1628.0,58.0,205.0
04-04-2021,730,367.0,1587.0,53.0,177.0
03-04-2021,734,407.0,1614.0,54.0,243.0
02-04-2021,705,419.0,1625.0,48.0,276.0
01-04-2021,688,433.0,1639.0,61.0,276.0
31-03-2021,681,439.0,1653.0,42.0,257.0
30-03-2021,682,453.0,1728.0,50.0,293.0
29-03-2021,675,431.0,1667.0,36.0,188.0
28-03-2021,655,402.0,1593.0,41.0,182.0
27-03-2021,643,452.0,1595.0,51.0,296.0
26-03-2021,625,460.0,1596.0,44.0,240.0
25-03-2021,619,471.0,1573.0,34.0,249.0
24-03-2021,625,483.0,1562.0,37.0,219.0
23-03-2021,623,475.0,1575.0,32.0,282.0
22-03-2021,638,443.0,1555.0,50.0,167.0
21-03-2021,611,408.0,1462.0,31.0,194.0
20-03-2021,602,456.0,1445.0,54.0,268.0
19-03-2021,579,480.0,1462.0,46.0,237.0
18-03-2021,564,477.0,1436.0,29.0,205.0
17-03-2021,568,491.0,1424.0,36.0,194.0
16-03-2021,586,473.0,1451.0,38.0,225.0
15-03-2021,564,441.0,1455.0,46.0,177.0
14-03-2021,554,428.0,1368.0,37.0,191.0
13-03-2021,554,479.0,1321.0,44.0,224.0
12-03-2021,576,501.0,1334.0,39.0,211.0
11-03-2021,572,489.0,1353.0,50.0,191.0
10-03-2021,560,481.0,1353.0,28.0,199.0
09-03-2021,556,498.0,1407.0,35.0,240.0
08-03-2021,558,457.0,1347.0,33.0,147.0
07-03-2021,545,431.0,1306.0,39.0,139.0
06-03-2021,542,480.0,1321.0,36.0,176.0
05-03-2021,541,491.0,1370.0,39.0,185.0
04-03-2021,539,485.0,1384.0,31.0,167.0
03-03-2021,549,455.0,1397.0,49.0,177.0
02-03-2021,540,460.0,1444.0,52.0,228.0
01-03-2021,536,434.0,1375.0,30.0,145.0
28-02-2021,526,401.0,1322.0,21.0,160.0
27-02-2021,518,470.0,1291.0,22.0,185.0
26-02-2021,525,493.0,1339.0,32.0,186.0
25-02-2021,526,499.0,1361.0,29.0,196.0
24-02-2021,533,508.0,1350.0,20.0,151.0
23-02-2021,538,480.0,1379.0,31.0,199.0
22-02-2021,561,439.0,1347.0,37.0,122.0
21-02-2021,534,461.0,1315.0,34.0,123.0
20-02-2021,522,502.0,1336.0,20.0,156.0
19-02-2021,510,515.0,1433.0,20.0,200.0
18-02-2021,523,511.0,1408.0,33.0,205.0
17-02-2021,520,516.0,1399.0,34.0,177.0
16-02-2021,526,528.0,1400.0,32.0,209.0
15-02-2021,536,499.0,1386.0,22.0,143.0
14-02-2021,530,470.0,1329.0,19.0,135.0
13-02-2021,538,522.0,1325.0,32.0,182.0
12-02-2021,534,505.0,1370.0,32.0,182.0
11-02-2021,537,517.0,1415.0,23.0,195.0
10-02-2021,533,511.0,1457.0,20.0,199.0
09-02-2021,550,455.0,1460.0,26.0,120.0
08-02-2021,542,455.0,1492.0,26.0,120.0
07-02-2021,535,462.0,1445.0,19.0,150.0
06-02-2021,547,488.0,1436.0,22.0,166.0
05-02-2021,573,490.0,1479.0,22.0,166.0
04-02-2021,602,486.0,1519.0,29.0,186.0
03-02-2021,613,479.0,1601.0,25.0,184.0
02-02-2021,629,471.0,1640.0,29.0,218.0
01-02-2021,639,426.0,1631.0,24.0,144.0
31-01-2021,646,454.0,1573.0,30.0,142.0
30-01-2021,640,471.0,1600.0,29.0,196.0
29-01-2021,659,458.0,1572.0,36.0,196.0
28-01-2021,645,495.0,1595.0,29.0,186.0
27-01-2021,651,492.0,1648.0,38.0,201.0
26-01-2021,674,466.0,1705.0,52.0,219.0
25-01-2021,664,416.0,1720.0,24.0,169.0
24-01-2021,680,416.0,1667.0,42.0,165.0
23-01-2021,673,459.0,1633.0,33.0,214.0
22-01-2021,674,456.0,1684.0,31.0,231.0
21-01-2021,677,460.0,1667.0,36.0,226.0
20-01-2021,679,447.0,1709.0,27.0,212.0
19-01-2021,683,444.0,1767.0,42.0,245.0
18-01-2021,690,398.0,1744.0,28.0,152.0
17-01-2021,676,393.0,1708.0,38.0,179.0
16-01-2021,671,441.0,1694.0,35.0,212.0
15-01-2021,690,452.0,1784.0,24.0,217.0
14-01-2021,693,453.0,1814.0,48.0,226.0
13-01-2021,700,416.0,1821.0,46.0,218.0
12-01-2021,695,417.0,1945.0,43.0,267.0
11-01-2021,702,383.0,1926.0,24.0,173.0
10-01-2021,711,379.0,1850.0,25.0,187.0
09-01-2021,700,420.0,1874.0,44.0,241.0
08-01-2021,708,426.0,1936.0,37.0,249.0
07-01-2021,712,420.0,2052.0,29.0,231.0
06-01-2021,704,435.0,2131.0,39.0,262.0
05-01-2021,731,396.0,2159.0,46.0,320.0
04-01-2021,715,377.0,2130.0,41.0,226.0
03-01-2021,704,360.0,2006.0,29.0,241.0
02-01-2021,698,379.0,2005.0,37.0,248.0
01-01-2021,703,389.0,1957.0,37.0,239.0
31-12-2020,724,410.0,2104.0,38.0,294.0
30-12-2020,712,422.0,2002.0,64.0,289.0
29-12-2020,684,416.0,2077.0,72.0,430.0
28-12-2020,658,370.0,1922.0,54.0,273.0
27-12-2020,631,387.0,1797.0,42.0,243.0
26-12-2020,615,372.0,1734.0,42.0,213.0
25-12-2020,600,417.0,1704.0,41.0,317.0
24-12-2020,596,436.0,1712.0,38.0,321.0
23-12-2020,608,439.0,1686.0,56.0,297.0
22-12-2020,586,469.0,1703.0,33.0,359.0
21-12-2020,586,429.0,1576.0,37.0,205.0
20-12-2020,580,431.0,1533.0,36.0,218.0
19-12-2020,560,483.0,1505.0,45.0,290.0
18-12-2020,549,497.0,1485.0,52.0,264.0
17-12-2020,536,507.0,1467.0,38.0,221.0
16-12-2020,526,544.0,1438.0,28.0,142.0
15-12-2020,524,530.0,1430.0,46.0,262.0
14-12-2020,503,523.0,1369.0,36.0,184.0
13-12-2020,497,478.0,1270.0,36.0,166.0
12-12-2020,481,510.0,1242.0,37.0,247.0
11-12-2020,472,547.0,1209.0,30.0,199.0
10-12-2020,469,533.0,1179.0,26.0,198.0
09-12-2020,473,552.0,1211.0,36.0,194.0
08-12-2020,464,553.0,1236.0,22.0,206.0
07-12-2020,470,501.0,1190.0,24.0,150.0
06-12-2020,469,502.0,1172.0,21.0,160.0
05-12-2020,472,516.0,1130.0,31.0,189.0
04-12-2020,473,550.0,1152.0,28.0,189.0
03-12-2020,458,557.0,1137.0,21.0,153.0
02-12-2020,475,531.0,1131.0,25.0,142.0
01-12-2020,478,506.0,1205.0,20.0,187.0
30-11-2020,481,475.0,1240.0,18.0,134.0
29-11-2020,506,450.0,1194.0,18.0,112.0
28-11-2020,511,483.0,1200.0,19.0,166.0
27-11-2020,518,513.0,1251.0,23.0,188.0
26-11-2020,524,516.0,1257.0,33.0,192.0
25-11-2020,529,515.0,1310.0,39.0,150.0
24-11-2020,526,491.0,1399.0,32.0,223.0
23-11-2020,536,451.0,1432.0,23.0,151.0
22-11-2020,540,447.0,1393.0,26.0,170.0
21-11-2020,550,475.0,1352.0,45.0,185.0
20-11-2020,547,496.0,1414.0,35.0,217.0
19-11-2020,555,501.0,1475.0,37.0,224.0
18-11-2020,559,488.0,1528.0,27.0,192.0
17-11-2020,576,473.0,1570.0,38.0,256.0
16-11-2020,573,463.0,1557.0,29.0,173.0
15-11-2020,586,437.0,1509.0,22.0,150.0
14-11-2020,595,457.0,1530.0,32.0,163.0
13-11-2020,609,485.0,1572.0,32.0,170.0
12-11-2020,595,496.0,1606.0,31.0,220.0
11-11-2020,606,480.0,1671.0,36.0,230.0
10-11-2020,598,487.0,1697.0,39.0,258.0
09-11-2020,600,444.0,1717.0,40.0,177.0
08-11-2020,598,431.0,1697.0,36.0,149.0
07-11-2020,602,466.0,1782.0,37.0,248.0
06-11-2020,603,477.0,1842.0,33.0,180.0
05-11-2020,607,476.0,1905.0,35.0,261.0
04-11-2020,612,475.0,1960.0,50.0,236.0
03-11-2020,609,449.0,2044.0,59.0,364.0
02-11-2020,587,415.0,1958.0,47.0,239.0
01-11-2020,583,446.0,1910.0,58.0,237.0
31-10-2020,584,452.0,1864.0,76.0,314.0
30-10-2020,567,447.0,1818.0,37.0,250.0
29-10-2020,553,470.0,1831.0,47.0,269.0
28-10-2020,545,462.0,1831.0,57.0,313.0
27-10-2020,529,456.0,1829.0,53.0,311.0
26-10-2020,506,431.0,1743.0,49.0,291.0
