Date,prev_low,prev_avg,prev_up,population,version
2020-02-17,772,1189.0,1630,hosp,1
2020-02-18,899,1361.0,1801,hosp,1
2020-02-19,1076,1614.0,2151,hosp,1
2020-02-20,1301,1888.0,2480,hosp,1
2020-02-21,1595,2273.0,2962,hosp,1
2020-02-22,1947,2706.0,3464,hosp,1
2020-02-23,2347,3177.0,4014,hosp,1
2020-02-24,2939,3885.0,4833,hosp,1
2020-02-25,3693,4806.0,5906,hosp,1
2020-02-26,4533,5824.0,7100,hosp,1
2020-02-27,5629,7102.0,8565,hosp,1
2020-02-28,7023,8746.0,10386,hosp,1
2020-02-29,8824,10795.0,12717,hosp,1
2020-03-01,10919,13237.0,15437,hosp,1
2020-03-02,13347,16161.0,18731,hosp,1
2020-03-03,16316,19603.0,22632,hosp,1
2020-03-04,19596,23498.0,27095,hosp,1
2020-03-05,23413,28026.0,32172,hosp,1
2020-03-06,27271,32700.0,37490,hosp,1
2020-03-07,31919,38472.0,44163,hosp,1
2020-03-08,37680,45427.0,52200,hosp,1
2020-03-09,42561,51521.0,59318,hosp,1
2020-03-10,46251,56565.0,65594,hosp,1
2020-03-11,50409,62261.0,72645,hosp,1
2020-03-12,54713,67848.0,79639,hosp,1
2020-03-13,58604,73736.0,87142,hosp,1
2020-03-14,63687,81385.0,96776,hosp,1
2020-03-15,70732,89849.0,107166,hosp,1
2020-03-16,78809,98414.0,117686,hosp,1
2020-03-17,87685,108455.0,128966,hosp,1
2020-03-18,96372,118206.0,138803,hosp,1
2020-03-19,105249,128956.0,150612,hosp,1
2020-03-20,112875,140118.0,164298,hosp,1
2020-03-21,119423,150481.0,177283,hosp,1
2020-03-22,124956,158763.0,188987,hosp,1
2020-03-23,127386,164730.0,199022,hosp,1
2020-03-24,128391,167956.0,205007,hosp,1
2020-03-25,127222,169225.0,208604,hosp,1
2020-03-26,122730,167178.0,209320,hosp,1
2020-03-27,116892,163676.0,207566,hosp,1
2020-03-28,111699,159166.0,205314,hosp,1
2020-03-29,105628,152519.0,199916,hosp,1
2020-03-30,100154,145527.0,192462,hosp,1
2020-03-31,94903,138431.0,183829,hosp,1
2020-04-01,90731,131448.0,174780,hosp,1
2020-04-02,85466,124179.0,165124,hosp,1
2020-04-03,80751,118029.0,156918,hosp,1
2020-04-04,77313,112408.0,149108,hosp,1
2020-04-05,72681,106402.0,141879,hosp,1
2020-04-06,68289,100428.0,134318,hosp,1
2020-04-07,64170,94600.0,126482,hosp,1
2020-04-08,61085,89647.0,120159,hosp,1
2020-04-09,57315,84616.0,113546,hosp,1
2020-04-10,53438,79732.0,106977,hosp,1
2020-04-11,50776,75465.0,101276,hosp,1
2020-04-12,48230,71386.0,96472,hosp,1
2020-04-13,45748,67283.0,90671,hosp,1
2020-04-14,42825,63441.0,85112,hosp,1
2020-04-15,40582,60100.0,80559,hosp,1
2020-04-16,37977,56458.0,75976,hosp,1
2020-04-17,35358,53101.0,71827,hosp,1
2020-04-18,33311,50156.0,67886,hosp,1
2020-04-19,31457,47298.0,64146,hosp,1
2020-04-20,29635,44527.0,60585,hosp,1
2020-04-21,27770,41886.0,57016,hosp,1
2020-04-22,26590,39593.0,53618,hosp,1
2020-04-23,25144,37396.0,50664,hosp,1
2020-04-24,23558,35437.0,47954,hosp,1
2020-04-25,22602,33887.0,45596,hosp,1
2020-04-26,21757,32535.0,43863,hosp,1
2020-04-27,20803,31046.0,41976,hosp,1
2020-04-28,19949,29646.0,39935,hosp,1
2020-04-29,19107,28284.0,37948,hosp,1
2020-04-30,18401,27173.0,36459,hosp,1
2020-05-01,17588,26189.0,35091,hosp,1
2020-05-02,16869,25355.0,33947,hosp,1
2020-05-03,16591,24695.0,33236,hosp,1
2020-05-04,16693,24480.0,32859,hosp,1
2020-05-05,16784,24152.0,32037,hosp,1
2020-05-06,16729,23853.0,31254,hosp,1
2020-05-07,16373,23334.0,30427,hosp,1
2020-05-08,15984,22936.0,29915,hosp,1
2020-05-09,15506,22601.0,29529,hosp,1
2020-05-10,14519,21855.0,28959,hosp,1
2020-05-11,14000,21223.0,28446,hosp,1
2020-05-12,13354,20438.0,27758,hosp,1
2020-05-13,12976,19661.0,26944,hosp,1
2020-05-14,12398,18747.0,25580,hosp,1
2020-05-15,11934,18094.0,24577,hosp,1
2020-05-16,11601,17496.0,23595,hosp,1
2020-05-17,10864,16649.0,22655,hosp,1
2020-05-18,10224,15828.0,21693,hosp,1
2020-05-19,9644,15008.0,20561,hosp,1
2020-05-20,9314,14357.0,19850,hosp,1
2020-05-21,8611,13530.0,18740,hosp,1
2020-05-22,7947,12742.0,17750,hosp,1
2020-05-23,7684,12031.0,16729,hosp,1
2020-05-24,7248,11385.0,16007,hosp,1
2020-05-25,6758,10570.0,14781,hosp,1
2020-05-26,6177,9852.0,13721,hosp,1
2020-05-27,5838,9299.0,13052,hosp,1
2020-05-28,5496,8766.0,12352,hosp,1
2020-05-29,5054,8202.0,11615,hosp,1
2020-05-30,4626,7637.0,10817,hosp,1
2020-05-31,4446,7191.0,10176,hosp,1
2020-06-01,4084,6643.0,9455,hosp,1
2020-06-02,3674,6083.0,8705,hosp,1
2020-06-03,3308,5559.0,7981,hosp,1
2020-06-04,2958,5098.0,7465,hosp,1
2020-06-05,2713,4752.0,7065,hosp,1
2020-06-06,2646,4602.0,6775,hosp,1
2020-06-07,2675,4475.0,6499,hosp,1
2020-06-08,2742,4416.0,6296,hosp,1
2020-06-09,2920,4453.0,6209,hosp,1
2020-06-10,2945,4433.0,5976,hosp,1
2020-06-11,2900,4388.0,5866,hosp,1
2020-06-12,2700,4324.0,5863,hosp,1
2020-06-13,2518,4234.0,5878,hosp,1
2020-06-14,2526,4313.0,6135,hosp,1
2020-06-15,2495,4293.0,6184,hosp,1
2020-06-16,2525,4289.0,6122,hosp,1
2020-06-17,2680,4369.0,6173,hosp,1
2020-06-18,2845,4487.0,6252,hosp,1
2020-06-19,3042,4613.0,6247,hosp,1
2020-06-20,3015,4743.0,6395,hosp,1
2020-06-21,2870,4700.0,6446,hosp,1
2020-06-22,2776,4647.0,6504,hosp,1
2020-06-23,2686,4580.0,6561,hosp,1
2020-06-24,2510,4405.0,6419,hosp,1
2020-06-25,2419,4285.0,6309,hosp,1
2020-06-26,2375,4234.0,6304,hosp,1
2020-06-27,2421,4199.0,6167,hosp,1
2020-06-28,2306,4019.0,5922,hosp,1
2020-06-29,2198,3928.0,5699,hosp,1
2020-06-30,2223,3853.0,5554,hosp,1
2020-07-01,2099,3742.0,5408,hosp,1
2020-07-02,1984,3613.0,5282,hosp,1
2020-07-03,1838,3485.0,5167,hosp,1
2020-07-04,1839,3381.0,5087,hosp,1
2020-07-05,1871,3343.0,5057,hosp,1
2020-07-06,2011,3452.0,5032,hosp,1
2020-07-07,2134,3509.0,4984,hosp,1
2020-07-08,2237,3624.0,5137,hosp,1
2020-07-09,2344,3699.0,5175,hosp,1
2020-07-10,2428,3828.0,5239,hosp,1
2020-07-11,2537,3968.0,5422,hosp,1
2020-07-12,2511,4103.0,5615,hosp,1
2020-07-13,2573,4139.0,5726,hosp,1
2020-07-14,2582,4185.0,5871,hosp,1
2020-07-15,2663,4232.0,5956,hosp,1
2020-07-16,2943,4539.0,6218,hosp,1
2020-07-17,3313,4913.0,6581,hosp,1
2020-07-18,3533,5259.0,7014,hosp,1
2020-07-19,3981,5691.0,7482,hosp,1
2020-07-20,4109,5844.0,7640,hosp,1
2020-07-21,4361,6131.0,7929,hosp,1
2020-07-22,4531,6509.0,8375,hosp,1
2020-07-23,4657,6881.0,8888,hosp,1
2020-07-24,4847,7171.0,9432,hosp,1
2020-07-25,5046,7499.0,10028,hosp,1
2020-07-26,5535,7911.0,10477,hosp,1
2020-07-27,5914,8330.0,10875,hosp,1
2020-07-28,6378,8910.0,11407,hosp,1
