Date_of_report,Date_of_measurement,Wave,Region_code,Region_name,Subgroup_category,Subgroup,Indicator_category,Indicator,Sample_size,Figure_type,Value,Lower_limit,Upper_limit,Change_wrt_previous_measurement
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Leeftijd,16-24,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Leeftijd,25-39,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Leeftijd,40-54,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Leeftijd,55-69,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Leeftijd,70+,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Geslacht,Man,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Geslacht,Vrouw,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Opleiding,Laag,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Opleiding,Midden,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Opleiding,Hoog,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR01,Groningen,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR02,Fryslân,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR03,Drenthe,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR04,IJsselland,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR05,Twente,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR06,Noord- en Oost-Gelderland,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR07,Gelderland-Midden,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR08,Gelderland-Zuid,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR09,Utrecht,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR10,Noord-Holland-Noord,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR11,Zaanstreek-Waterland,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR12,Kennemerland,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR13,Amsterdam-Amstelland,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR14,Gooi en Vechtstreek,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR15,Haaglanden,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR16,Hollands-Midden,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR17,Rotterdam-Rijnmond,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR18,Zuid-Holland-Zuid,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR19,Zeeland,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR20,Midden- en West-Brabant,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR21,Brabant-Noord,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR22,Brabant-Zuidoost,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR23,Limburg-Noord,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR24,Limburg-Zuid,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,VR25,Flevoland,Alle,Totaal,Draagvlak,Avondklok,0,Percentage,,,,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Alle,Totaal,Draagvlak,Bij_klachten_blijf_thuis,5002,Percentage,82.3,81.2,83.5,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Leeftijd,16-24,Draagvlak,Bij_klachten_blijf_thuis,576,Percentage,77.7,73.7,81.3,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Leeftijd,25-39,Draagvlak,Bij_klachten_blijf_thuis,1226,Percentage,80.9,78.4,83.1,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Leeftijd,40-54,Draagvlak,Bij_klachten_blijf_thuis,1373,Percentage,81.1,78.8,83.2,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Leeftijd,55-69,Draagvlak,Bij_klachten_blijf_thuis,1189,Percentage,85.5,83.3,87.6,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Leeftijd,70+,Draagvlak,Bij_klachten_blijf_thuis,638,Percentage,85.4,82.0,88.2,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Geslacht,Man,Draagvlak,Bij_klachten_blijf_thuis,2435,Percentage,81.1,79.3,82.8,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Geslacht,Vrouw,Draagvlak,Bij_klachten_blijf_thuis,2567,Percentage,83.6,82.0,85.1,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Opleiding,Laag,Draagvlak,Bij_klachten_blijf_thuis,1258,Percentage,81.8,79.4,84.0,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Opleiding,Midden,Draagvlak,Bij_klachten_blijf_thuis,2043,Percentage,80.8,78.9,82.6,
2021-03-23 10:00:00,2020-09-28,1,NL00,Nederland,Opleiding,Hoog,Draagvlak,Bij_klachten_blijf_thuis,1701,Percentage,84.3,82.2,86.1,
2021-03-23 10:00:00,2020-09-28,1,VR01,Groningen,Alle,Totaal,Draagvlak,Bij_klachten_blijf_thuis,211,Percentage,85.3,79.7,89.6,
2021-03-23 10:00:00,2020-09-28,1,VR02,Fryslân,Alle,Totaal,Draagvlak,Bij_klachten_blijf_thuis,192,Percentage,78.8,72.3,84.1,
2021-03-23 10:00:00,2020-09-28,1,VR03,Drenthe,Alle,Totaal,Draagvlak,Bij_klachten_blijf_thuis,198,Percentage,78.4,71.8,83.8,
2021-03-23 10:00:00,2020-09-28,1,VR04,IJsselland,Alle,Totaal,Draagvlak,Bij_klachten_blijf_thuis,215,Percentage,85.9,80.6,90.0,
2021-03-23 10:00:00,2020-09-28,1,VR05,Twente,Alle,Totaal,Draagvlak,Bij_klachten_blijf_thuis,214,Percentage,80.7,74.8,85.5,
2021-03-23 10:00:00,2020-09-28,1,VR06,Noord- en Oost-Gelderland,Alle,Totaal,Draagvlak,Bij_klachten_blijf_thuis,193,Percentage,83.3,77.1,88.1,
2021-03-23 10:00:00,2020-09-28,1,VR07,Gelderland-Midden,Alle,Totaal,Draagvlak,Bij_klachten_blijf_thuis,196,Percentage,78.6,72.1,84.0,
2021-03-23 10:00:00,2020-09-28,1,VR08,Gelderland-Zuid,Alle,Totaal,Draagvlak,Bij_klachten_blijf_thuis,203,Percentage,77.2,70.4,82.8,
2021-03-23 10:00:00,2020-09-28,1,VR09,Utrecht,Alle,Totaal,Draagvlak,Bij_klachten_blijf_thuis,208,Percentage,85.4,79.8,89.7,
