0,Date
Groep Aantal positief Aantal getest Percentage positief,2020-07-28
Kinderen 0-6 jaar 33 8433 0.4,2020-07-28
Kinderen 7-12 jaar 84 28177 0.3,2020-07-28
Kinderen 13-18 jaar 208 17281 1.2,2020-07-28
Onderwijs- of kinderopvang personeel 162 34935 0.5,2020-07-28
Deze personen zijn getest in het kader van bron- en contactonderzoek (BCO).,2020-07-28
Tabel 12: Aantal testen en percentage positief per doelgroep in de afgelopen twee weken1.,2020-07-28
Groep Aantal positief Aantal getest Percentage positief,2020-07-28
Kinderen 0-6 jaar 5 936 0.5,2020-07-28
Kinderen 7-12 jaar 21 5099 0.4,2020-07-28
Kinderen 13-18 jaar 92 6320 1.5,2020-07-28
Onderwijs- of kinderopvang personeel 48 7561 0.6,2020-07-28
