Leeftijdsgroep,2021-03-02 00:00:00,Date
0 - 3,12966 1442 11.1 3576 257 7.2,2021-03-02
4 - 12,176066 23813 13.5 33169 2612 7.9,2021-03-02
13 - 17,245950 37425 15.2 11414 1522 13.3,2021-03-02
18 - 24,504170 61780 12.3 33514 3607 10.8,2021-03-02
25 - 29,378273 37377 9.9 26472 2156 8.1,2021-03-02
30 - 39,759675 67003 8.8 64088 4270 6.7,2021-03-02
40 - 49,619543 70693 11.4 46323 3922 8.5,2021-03-02
50 - 59,622897 84982 13.6 42365 4528 10.7,2021-03-02
60 - 69,445946 54291 12.2 33885 2963 8.7,2021-03-02
70+,291986 41031 14.1 22288 2188 9.8,2021-03-02
