Leeftijdsgroep,2021-03-16 00:00:00,Date
0 - 3,21775 1983 9.1 4966 292 5.9,2021-03-16
4 - 12,317645 30692 9.7 88175 3972 4.5,2021-03-16
13 - 17,286161 41312 14.4 23780 2215 9.3,2021-03-16
18 - 24,591697 70599 11.9 47416 4630 9.8,2021-03-16
25 - 29,440054 42220 9.6 33321 2597 7.8,2021-03-16
30 - 39,912181 76376 8.4 83385 5196 6.2,2021-03-16
40 - 49,737851 79678 10.8 66286 4979 7.5,2021-03-16
50 - 59,719049 95121 13.2 51831 5642 10.9,2021-03-16
60 - 69,517945 60470 11.7 38850 3349 8.6,2021-03-16
70+,334740 45282 13.5 22568 2305 10.2,2021-03-16
