Leeftijdsgroep,2021-03-30 00:00:00,Date
0 - 3,36124 2731 7.6 7837 405 5.2,2021-03-30
4 - 12,526282 41259 7.8 105227 5573 5.3,2021-03-30
13 - 17,352050 47403 13.5 35202 3203 9.1,2021-03-30
18 - 24,701027 82022 11.7 57079 6143 10.8,2021-03-30
25 - 29,516258 48966 9.5 39623 3507 8.9,2021-03-30
30 - 39,1097582 89164 8.1 95266 6796 7.1,2021-03-30
40 - 49,890053 92522 10.4 78325 6735 8.6,2021-03-30
50 - 59,836925 108379 12.9 60882 6949 11.4,2021-03-30
60 - 69,606119 68581 11.3 45228 4261 9.4,2021-03-30
70+,384148 50759 13.2 25266 2962 11.7,2021-03-30
