Leeftijdsgroep,2021-04-06 00:00:00,2,3,Date
0 - 3 39627,,2470 6.2,8728 438 5.0,2021-04-06
4 - 12 514299,,29696 5.8,85412 4962 5.8,2021-04-06
13 - 17 170554,,17780 10.4,29875 2835 9.5,2021-04-06
18 - 24 359999,,38231 10.6,56023 5965 10.6,2021-04-06
25 - 29 263865,,22559 8.5,39374 3375 8.6,2021-04-06
30 - 39 617955,,42996 7.0,87995 6461 7.3,2021-04-06
40 - 49 483084,,41553 8.6,69091 6355 9.2,2021-04-06
50 - 59 412139,,47050 11.4,56110 6865 12.2,2021-04-06
60 - 69 306196,,29274 9.6,40975 4016 9.8,2021-04-06
70 - 79 143844,,14734 10.2,19084 2194 11.5,2021-04-06
80+ 39570,,5403 13.7,3759 524 13.9,2021-04-06
