0,Date
Vanaf 1 februari Afgelopen kalenderweek1,2021-04-13
Groep Aantal Aantal % Aantal Aantal %,2021-04-13
Kinderen in de kinderopvang (0-4 jaar)2 1321 18 1.4 296 4 1.4,2021-04-13
BSO (3-15 jaar)2,2021-04-13
Basisschool- en BSO personeel (16+)2 93064 4757 5.1 9169 584 6.4,2021-04-13
Middelbaar onderwijsleerlingen (12-19 7236 600 8.3 1236 136 11.0,2021-04-13
Hoger onderwijsleerlingen (16-24 jaar)2 21838 1556 7.1 3901 312 8.0,2021-04-13
Zorgmedewerkers verpleeg- of 48270 3420 7.1 5457 340 6.2,2021-04-13
Overige niet-contact beroepen 484846 39196 8.1 58513 5485 9.4,2021-04-13
Getest ihkv BCO (0-3 jaar)4 14915 1714 11.5 2661 263 9.9,2021-04-13
Getest ihkv BCO (4-12 jaar)4 160248 17566 11.0 23956 2376 9.9,2021-04-13
Getest ihkv BCO (13-17 jaar)4 57937 9421 16.3 9075 1407 15.5,2021-04-13
