Date,prev_low,prev_avg,prev_up,population,version
2020-02-17,772,1203.0,1631,hosp,1
2020-02-18,900,1375.0,1843,hosp,1
2020-02-19,1099,1621.0,2168,hosp,1
2020-02-20,1300,1890.0,2499,hosp,1
2020-02-21,1598,2268.0,2953,hosp,1
2020-02-22,1949,2697.0,3470,hosp,1
2020-02-23,2342,3163.0,3989,hosp,1
2020-02-24,2922,3855.0,4787,hosp,1
2020-02-25,3668,4786.0,5876,hosp,1
2020-02-26,4506,5798.0,7025,hosp,1
2020-02-27,5584,7091.0,8505,hosp,1
2020-02-28,6982,8726.0,10371,hosp,1
2020-02-29,8715,10763.0,12640,hosp,1
2020-03-01,10878,13225.0,15486,hosp,1
2020-03-02,13318,16153.0,18719,hosp,1
2020-03-03,16282,19616.0,22652,hosp,1
2020-03-04,19607,23481.0,27021,hosp,1
2020-03-05,23452,27979.0,32139,hosp,1
2020-03-06,27143,32692.0,37536,hosp,1
2020-03-07,31927,38459.0,44217,hosp,1
2020-03-08,37703,45442.0,52234,hosp,1
2020-03-09,42521,51533.0,59526,hosp,1
2020-03-10,46320,56509.0,65651,hosp,1
2020-03-11,50451,62286.0,72856,hosp,1
2020-03-12,54630,67856.0,79777,hosp,1
2020-03-13,58672,73725.0,87179,hosp,1
2020-03-14,63511,81312.0,96742,hosp,1
2020-03-15,70491,89727.0,107146,hosp,1
2020-03-16,78684,98341.0,117750,hosp,1
2020-03-17,87571,108361.0,128965,hosp,1
2020-03-18,96275,118153.0,138815,hosp,1
2020-03-19,105264,128974.0,150639,hosp,1
2020-03-20,112829,140050.0,164355,hosp,1
2020-03-21,119622,150418.0,177289,hosp,1
2020-03-22,124873,158760.0,189202,hosp,1
2020-03-23,127247,164618.0,199018,hosp,1
2020-03-24,128405,167882.0,205027,hosp,1
2020-03-25,127158,169083.0,208571,hosp,1
2020-03-26,122458,166968.0,209281,hosp,1
2020-03-27,116996,163484.0,207584,hosp,1
2020-03-28,111630,158959.0,205192,hosp,1
2020-03-29,105732,152369.0,199541,hosp,1
2020-03-30,100124,145349.0,192421,hosp,1
2020-03-31,94819,138217.0,183641,hosp,1
2020-04-01,90709,131288.0,174679,hosp,1
2020-04-02,85456,124050.0,165115,hosp,1
2020-04-03,80734,117891.0,156890,hosp,1
2020-04-04,77061,112259.0,148950,hosp,1
2020-04-05,72734,106303.0,141905,hosp,1
2020-04-06,68335,100323.0,134228,hosp,1
2020-04-07,64252,94531.0,126411,hosp,1
2020-04-08,61290,89568.0,119909,hosp,1
2020-04-09,57359,84528.0,113468,hosp,1
2020-04-10,53560,79690.0,107016,hosp,1
2020-04-11,50827,75445.0,101358,hosp,1
2020-04-12,48299,71412.0,96416,hosp,1
2020-04-13,45606,67254.0,90640,hosp,1
2020-04-14,42839,63425.0,85148,hosp,1
2020-04-15,40636,60071.0,80736,hosp,1
2020-04-16,37943,56412.0,75951,hosp,1
2020-04-17,35322,53018.0,71769,hosp,1
2020-04-18,33220,50026.0,67749,hosp,1
2020-04-19,31395,47204.0,64110,hosp,1
2020-04-20,29539,44403.0,60491,hosp,1
2020-04-21,27697,41818.0,56896,hosp,1
2020-04-22,26456,39502.0,53571,hosp,1
2020-04-23,25065,37299.0,50458,hosp,1
2020-04-24,23686,35370.0,47861,hosp,1
2020-04-25,22682,33833.0,45440,hosp,1
2020-04-26,21914,32521.0,43888,hosp,1
2020-04-27,20884,31039.0,41940,hosp,1
2020-04-28,20014,29618.0,39847,hosp,1
2020-04-29,19176,28286.0,37878,hosp,1
2020-04-30,18488,27183.0,36446,hosp,1
2020-05-01,17722,26221.0,35106,hosp,1
2020-05-02,17056,25393.0,33938,hosp,1
2020-05-03,16734,24761.0,33250,hosp,1
2020-05-04,16823,24538.0,32833,hosp,1
2020-05-05,16843,24203.0,32027,hosp,1
2020-05-06,16736,23844.0,31211,hosp,1
2020-05-07,16351,23327.0,30411,hosp,1
2020-05-08,15909,22893.0,29950,hosp,1
2020-05-09,15512,22534.0,29553,hosp,1
2020-05-10,14449,21773.0,28903,hosp,1
2020-05-11,13898,21058.0,28283,hosp,1
2020-05-12,13285,20260.0,27572,hosp,1
2020-05-13,12968,19541.0,26757,hosp,1
2020-05-14,12385,18670.0,25394,hosp,1
2020-05-15,11920,18030.0,24390,hosp,1
2020-05-16,11597,17415.0,23467,hosp,1
2020-05-17,10910,16597.0,22591,hosp,1
2020-05-18,10365,15816.0,21631,hosp,1
2020-05-19,9724,15034.0,20555,hosp,1
2020-05-20,9260,14362.0,19798,hosp,1
2020-05-21,8578,13567.0,18787,hosp,1
2020-05-22,8055,12777.0,17816,hosp,1
2020-05-23,7690,12039.0,16780,hosp,1
2020-05-24,7254,11373.0,15953,hosp,1
2020-05-25,6725,10571.0,14738,hosp,1
2020-05-26,6168,9855.0,13746,hosp,1
2020-05-27,5761,9303.0,13081,hosp,1
2020-05-28,5414,8751.0,12356,hosp,1
2020-05-29,5029,8187.0,11605,hosp,1
2020-05-30,4659,7636.0,10864,hosp,1
2020-05-31,4486,7180.0,10192,hosp,1
2020-06-01,4114,6627.0,9409,hosp,1
2020-06-02,3646,6075.0,8727,hosp,1
2020-06-03,3211,5552.0,7952,hosp,1
2020-06-04,2895,5085.0,7433,hosp,1
2020-06-05,2721,4755.0,7057,hosp,1
2020-06-06,2633,4593.0,6780,hosp,1
2020-06-07,2669,4462.0,6488,hosp,1
2020-06-08,2754,4408.0,6301,hosp,1
2020-06-09,2884,4426.0,6184,hosp,1
2020-06-10,2932,4407.0,5986,hosp,1
2020-06-11,2881,4366.0,5886,hosp,1
2020-06-12,2683,4292.0,5853,hosp,1
2020-06-13,2547,4209.0,5843,hosp,1
2020-06-14,2540,4288.0,6078,hosp,1
2020-06-15,2508,4276.0,6126,hosp,1
2020-06-16,2553,4274.0,6098,hosp,1
2020-06-17,2700,4382.0,6197,hosp,1
2020-06-18,2860,4509.0,6239,hosp,1
2020-06-19,2994,4632.0,6326,hosp,1
2020-06-20,2990,4755.0,6430,hosp,1
2020-06-21,2873,4709.0,6484,hosp,1
2020-06-22,2789,4650.0,6541,hosp,1
2020-06-23,2720,4587.0,6570,hosp,1
2020-06-24,2537,4409.0,6382,hosp,1
2020-06-25,2436,4314.0,6334,hosp,1
2020-06-26,2371,4245.0,6280,hosp,1
2020-06-27,2413,4193.0,6179,hosp,1
2020-06-28,2350,4014.0,5857,hosp,1
2020-06-29,2279,3927.0,5713,hosp,1
2020-06-30,2239,3844.0,5511,hosp,1
2020-07-01,2105,3724.0,5410,hosp,1
2020-07-02,1962,3574.0,5247,hosp,1
2020-07-03,1863,3458.0,5167,hosp,1
2020-07-04,1863,3351.0,5086,hosp,1
2020-07-05,1853,3301.0,4990,hosp,1
2020-07-06,2004,3411.0,4974,hosp,1
2020-07-07,2092,3474.0,4929,hosp,1
2020-07-08,2222,3615.0,5097,hosp,1
2020-07-09,2272,3685.0,5141,hosp,1
2020-07-10,2421,3819.0,5247,hosp,1
2020-07-11,2534,3956.0,5421,hosp,1
2020-07-12,2568,4109.0,5653,hosp,1
2020-07-13,2605,4137.0,5723,hosp,1
2020-07-14,2579,4171.0,5827,hosp,1
2020-07-15,2688,4232.0,5925,hosp,1
2020-07-16,2945,4539.0,6220,hosp,1
2020-07-17,3303,4919.0,6607,hosp,1
2020-07-18,3524,5266.0,7004,hosp,1
2020-07-19,3972,5715.0,7577,hosp,1
2020-07-20,4154,5872.0,7715,hosp,1
2020-07-21,4406,6171.0,8036,hosp,1
2020-07-22,4552,6542.0,8407,hosp,1
2020-07-23,4720,6909.0,8910,hosp,1
2020-07-24,4885,7188.0,9399,hosp,1
2020-07-25,5021,7507.0,10007,hosp,1
2020-07-26,5527,7919.0,10444,hosp,1
2020-07-27,5939,8336.0,10862,hosp,1
2020-07-28,6380,8955.0,11518,hosp,1
2020-07-29,6893,9620.0,12185,hosp,1
2020-07-30,7028,9834.0,12578,hosp,1
2020-07-31,7030,9977.0,12835,hosp,1
2020-08-01,7064,10171.0,13155,hosp,1
2020-08-02,7219,10455.0,13612,hosp,1
2020-08-03,7343,10815.0,14234,hosp,1
2020-08-04,7355,11008.0,14585,hosp,1
2020-08-05,7646,11103.0,14813,hosp,1
2020-08-06,7960,11280.0,14962,hosp,1
2020-08-07,8303,11589.0,15110,hosp,1
2020-08-08,8482,11894.0,15108,hosp,1
2020-08-09,8521,12259.0,15686,hosp,1
2020-08-10,8568,12431.0,16153,hosp,1
2020-08-11,8807,12667.0,16567,hosp,1
2020-08-12,8902,12728.0,16643,hosp,1
2020-08-13,8821,12731.0,16655,hosp,1
2020-08-14,8807,12840.0,16806,hosp,1
2020-08-15,8652,12834.0,16922,hosp,1
2020-08-16,8477,12568.0,16813,hosp,1
2020-08-17,8119,12269.0,16511,hosp,1
2020-08-18,7901,12002.0,16231,hosp,1
2020-08-19,7626,11625.0,15746,hosp,1
2020-08-20,7251,11280.0,15462,hosp,1
2020-08-21,6985,10913.0,14971,hosp,1
2020-08-22,6841,10641.0,14645,hosp,1
2020-08-23,7017,10640.0,14607,hosp,1
2020-08-24,7234,10819.0,14650,hosp,1
2020-08-25,7547,11044.0,14656,hosp,1
2020-08-26,8110,11557.0,15148,hosp,1
2020-08-27,8793,12234.0,15799,hosp,1
2020-08-28,9610,13045.0,16590,hosp,1
2020-08-29,10368,14081.0,17738,hosp,1
2020-08-30,11473,15537.0,19364,hosp,1
2020-08-31,12933,17176.0,21318,hosp,1
2020-09-01,14468,19023.0,23509,hosp,1
2020-09-02,16362,21313.0,26071,hosp,1
2020-09-03,18505,23852.0,28954,hosp,1
2020-09-04,21047,26904.0,32390,hosp,1
2020-09-05,23648,30276.0,36232,hosp,1
2020-09-06,25924,33181.0,39788,hosp,1
