Version,Date_measurement,RWZI_AWZI_code,RWZI_AWZI_name,RNA_per_ml,RNA_flow_per_100000
1,2020-03-30,32002,Tilburg,1837.0,
1,2020-03-31,3010,Assen,2254.0,
1,2020-03-31,1033,Garmerwolde,427.0,
1,2020-03-31,2032,Harlingen,869.0,
1,2020-03-31,2011,Leeuwarden,424.0,
1,2020-03-31,1008,Stadskanaal,200.0,
1,2020-03-31,10009,Utrecht,1826.0,
1,2020-03-31,4026,Zwolle,890.0,
1,2020-04-01,9016,Arnhem,984.0,
1,2020-04-01,7022,Etten,2493.0,
1,2020-04-01,13010,Haarlem Waarderpolder,1606.0,
1,2020-04-01,25020,Kaatsheuvel,2025.0,
1,2020-04-01,25027,Lage Zwaluwe,883.0,
1,2020-04-01,13030,Leimuiden,1642.0,
1,2020-04-01,5012,Oldenzaal,1611.0,
1,2020-04-01,3028,Sleen,721.0,
1,2020-04-01,23002,Terneuzen,732.0,
1,2020-04-02,12022,Beverwijk,1041.0,
1,2020-04-02,30007,Bosscherveld,4350.0,
1,2020-04-02,30020,Venray,1802.0,
1,2020-04-05,10027,Amersfoort,1344.0,
1,2020-04-05,27008,'S Hertogenbosch,1689.0,
1,2020-04-05,29003,Land Van Cuijk,4264.0,
1,2020-04-05,6004,Lelystad,729.0,
1,2020-04-05,23002,Terneuzen,1336.0,
1,2020-04-05,4027,Tollebeek,1668.0,
1,2020-04-06,28005,Dinther,3224.0,
1,2020-04-06,32002,Tilburg,222.0,
1,2020-04-07,9016,Arnhem,175.0,
1,2020-04-07,3010,Assen,74.0,
1,2020-04-07,1033,Garmerwolde,951.0,
1,2020-04-07,13010,Haarlem Waarderpolder,1546.0,
1,2020-04-07,2032,Harlingen,321.0,
1,2020-04-07,2011,Leeuwarden,903.0,
1,2020-04-07,13030,Leimuiden,870.0,
1,2020-04-07,1008,Stadskanaal,37.0,
1,2020-04-07,10009,Utrecht,1484.0,
1,2020-04-07,21001,Walcheren,1053.0,
1,2020-04-07,4026,Zwolle,1844.0,
1,2020-04-08,12022,Beverwijk,1093.0,
1,2020-04-08,7022,Etten,2199.0,
1,2020-04-08,25020,Kaatsheuvel,1585.0,
1,2020-04-08,25027,Lage Zwaluwe,1990.0,
1,2020-04-08,6004,Lelystad,1658.0,
1,2020-04-08,30007,Bosscherveld,4706.0,
1,2020-04-08,5012,Oldenzaal,785.0,
1,2020-04-08,3028,Sleen,128.0,
1,2020-04-08,4027,Tollebeek,1858.0,
1,2020-04-08,30020,Venray,991.0,
1,2020-04-09,27008,'S Hertogenbosch,820.0,
1,2020-04-09,28005,Dinther,1913.0,
1,2020-04-10,9016,Arnhem,892.0,
1,2020-04-13,10027,Amersfoort,815.0,
1,2020-04-13,1033,Garmerwolde,75.0,
1,2020-04-13,13010,Haarlem Waarderpolder,271.0,
1,2020-04-13,15005,Houtrust,797.0,
1,2020-04-13,29003,Land Van Cuijk,3663.0,
1,2020-04-13,13030,Leimuiden,485.0,
1,2020-04-13,32002,Tilburg,2538.0,
1,2020-04-14,3010,Assen,18.0,
1,2020-04-14,2011,Leeuwarden,58.0,
1,2020-04-14,1008,Stadskanaal,146.0,
1,2020-04-14,10009,Utrecht,552.0,
1,2020-04-14,21001,Walcheren,168.0,
1,2020-04-14,4026,Zwolle,757.0,
1,2020-04-15,12022,Beverwijk,332.0,
1,2020-04-15,7022,Etten,711.0,
1,2020-04-15,29003,Land Van Cuijk,593.0,
1,2020-04-15,6004,Lelystad,476.0,
1,2020-04-15,30007,Bosscherveld,972.0,
1,2020-04-15,5012,Oldenzaal,394.0,
1,2020-04-15,3028,Sleen,37.0,
1,2020-04-15,4027,Tollebeek,1217.0,
1,2020-04-15,30020,Venray,395.0,
1,2020-04-16,27008,'S Hertogenbosch,632.0,
1,2020-04-16,28005,Dinther,808.0,
1,2020-04-16,25020,Kaatsheuvel,253.0,
1,2020-04-16,25027,Lage Zwaluwe,390.0,
1,2020-04-16,23002,Terneuzen,86.0,
1,2020-04-17,9016,Arnhem,32.0,
1,2020-04-19,10027,Amersfoort,293.0,
1,2020-04-19,13030,Leimuiden,312.0,
1,2020-04-20,13010,Haarlem Waarderpolder,91.0,
1,2020-04-20,15005,Houtrust,245.0,
1,2020-04-20,32002,Tilburg,412.0,
1,2020-04-21,3010,Assen,37.0,
1,2020-04-21,2032,Harlingen,1050.0,
1,2020-04-21,2011,Leeuwarden,114.0,
1,2020-04-21,6004,Lelystad,490.0,
1,2020-04-21,1008,Stadskanaal,63.0,
1,2020-04-21,23002,Terneuzen,485.0,
1,2020-04-21,10009,Utrecht,347.0,
1,2020-04-21,4026,Zwolle,277.0,
1,2020-04-22,12022,Beverwijk,173.0,
1,2020-04-22,7022,Etten,1250.0,
1,2020-04-22,1033,Garmerwolde,372.0,
1,2020-04-22,25020,Kaatsheuvel,420.0,
1,2020-04-22,25027,Lage Zwaluwe,233.0,
1,2020-04-22,30007,Bosscherveld,861.0,
1,2020-04-22,5012,Oldenzaal,174.0,
1,2020-04-22,3028,Sleen,4083.0,
1,2020-04-22,30020,Venray,564.0,
1,2020-04-22,21001,Walcheren,82.0,
1,2020-04-23,27008,'S Hertogenbosch,532.0,
1,2020-04-23,28005,Dinther,1698.0,
1,2020-04-23,29003,Land Van Cuijk,751.0,
1,2020-04-23,4027,Tollebeek,9475.0,
1,2020-04-26,13010,Haarlem Waarderpolder,135.0,
1,2020-04-27,10027,Amersfoort,526.0,
1,2020-04-27,15005,Houtrust,447.0,
1,2020-04-27,13030,Leimuiden,419.0,
1,2020-04-27,6004,Lelystad,439.0,
1,2020-04-27,32002,Tilburg,561.0,
1,2020-04-28,9016,Arnhem,80.0,
1,2020-04-28,3010,Assen,52.0,
1,2020-04-28,2032,Harlingen,93.0,
1,2020-04-28,29003,Land Van Cuijk,607.0,
1,2020-04-28,2011,Leeuwarden,119.0,
1,2020-04-28,1008,Stadskanaal,26.0,
1,2020-04-28,23002,Terneuzen,723.0,
1,2020-04-28,10009,Utrecht,370.0,
1,2020-04-28,4026,Zwolle,338.0,
1,2020-04-29,12022,Beverwijk,90.0,
1,2020-04-29,28005,Dinther,382.0,
1,2020-04-29,7022,Etten,244.0,
1,2020-04-29,1033,Garmerwolde,71.0,
1,2020-04-29,25020,Kaatsheuvel,875.0,
1,2020-04-29,25027,Lage Zwaluwe,52.0,
1,2020-04-29,30007,Bosscherveld,513.0,
1,2020-04-29,5012,Oldenzaal,18.0,
1,2020-04-29,3028,Sleen,64.0,
1,2020-04-29,4027,Tollebeek,684.0,
1,2020-04-29,30020,Venray,177.0,
1,2020-04-29,21001,Walcheren,65.0,
1,2020-04-30,9016,Arnhem,428.0,
1,2020-04-30,15005,Houtrust,102.0,
1,2020-05-01,13010,Haarlem Waarderpolder,57.0,
1,2020-05-03,10027,Amersfoort,112.0,
1,2020-05-03,9016,Arnhem,250.0,
1,2020-05-03,29003,Land Van Cuijk,460.0,
1,2020-05-05,3010,Assen,0.0,
1,2020-05-05,27008,'S Hertogenbosch,273.0,
1,2020-05-05,28005,Dinther,581.0,
1,2020-05-05,2032,Harlingen,0.0,
1,2020-05-05,15005,Houtrust,293.0,
1,2020-05-05,2011,Leeuwarden,43.0,
1,2020-05-05,1008,Stadskanaal,334.0,
1,2020-05-05,32002,Tilburg,262.0,
1,2020-05-05,4027,Tollebeek,1125.0,
1,2020-05-05,10009,Utrecht,229.0,
1,2020-05-05,4026,Zwolle,113.0,
1,2020-05-06,12022,Beverwijk,18.0,
1,2020-05-06,7022,Etten,264.0,
1,2020-05-06,1033,Garmerwolde,385.0,
1,2020-05-06,25020,Kaatsheuvel,380.0,
1,2020-05-06,25027,Lage Zwaluwe,459.0,
1,2020-05-06,13030,Leimuiden,90.0,
1,2020-05-06,6004,Lelystad,335.0,
1,2020-05-06,30007,Bosscherveld,516.0,
1,2020-05-06,5012,Oldenzaal,38.0,
1,2020-05-06,3028,Sleen,0.0,
1,2020-05-06,23002,Terneuzen,651.0,
1,2020-05-06,30020,Venray,337.0,
1,2020-05-06,21001,Walcheren,105.0,
1,2020-05-07,9016,Arnhem,0.0,
1,2020-05-07,13010,Haarlem Waarderpolder,318.0,
1,2020-05-09,6004,Lelystad,222.0,
1,2020-05-10,10027,Amersfoort,0.0,
1,2020-05-10,27008,'S Hertogenbosch,405.0,
1,2020-05-10,28005,Dinther,260.0,
1,2020-05-10,29003,Land Van Cuijk,92.0,
1,2020-05-11,9016,Arnhem,15.0,
1,2020-05-11,1033,Garmerwolde,43.0,
1,2020-05-11,15005,Houtrust,680.0,
1,2020-05-11,13030,Leimuiden,24.0,
1,2020-05-11,32002,Tilburg,283.0,
1,2020-05-11,4027,Tollebeek,716.0,
1,2020-05-11,21001,Walcheren,51.0,
1,2020-05-12,3010,Assen,16.0,
1,2020-05-12,2032,Harlingen,0.0,
1,2020-05-12,2011,Leeuwarden,53.0,
1,2020-05-12,1008,Stadskanaal,0.0,
1,2020-05-12,10009,Utrecht,258.0,
1,2020-05-12,4026,Zwolle,108.0,
1,2020-05-13,12022,Beverwijk,47.0,
1,2020-05-13,27008,'S Hertogenbosch,76.0,
1,2020-05-13,7022,Etten,0.0,
1,2020-05-13,13010,Haarlem Waarderpolder,0.0,
1,2020-05-13,25020,Kaatsheuvel,42.0,
1,2020-05-13,25027,Lage Zwaluwe,102.0,
1,2020-05-13,30007,Bosscherveld,240.0,
1,2020-05-13,5012,Oldenzaal,165.0,
1,2020-05-13,3028,Sleen,535.0,
1,2020-05-13,23002,Terneuzen,146.0,
1,2020-05-13,30020,Venray,0.0,
1,2020-05-15,6004,Lelystad,265.0,
1,2020-05-16,21001,Walcheren,52.0,
1,2020-05-17,10027,Amersfoort,209.0,
1,2020-05-17,9016,Arnhem,89.0,
1,2020-05-17,27008,'S Hertogenbosch,188.0,
1,2020-05-17,28005,Dinther,165.0,
1,2020-05-17,15005,Houtrust,758.0,
1,2020-05-17,4027,Tollebeek,160.0,
1,2020-05-18,32002,Tilburg,211.0,
1,2020-05-19,3010,Assen,0.0,
1,2020-05-19,13010,Haarlem Waarderpolder,0.0,
1,2020-05-19,2032,Harlingen,0.0,
1,2020-05-19,29003,Land Van Cuijk,397.0,
1,2020-05-19,2011,Leeuwarden,0.0,
1,2020-05-19,1008,Stadskanaal,0.0,
1,2020-05-19,10009,Utrecht,297.0,
1,2020-05-19,4026,Zwolle,83.0,
1,2020-05-20,13030,Leimuiden,68.0,
1,2020-05-21,12022,Beverwijk,123.0,
1,2020-05-21,7022,Etten,2130.0,
1,2020-05-21,25020,Kaatsheuvel,428.0,
1,2020-05-21,25027,Lage Zwaluwe,0.0,
1,2020-05-21,6004,Lelystad,278.0,
1,2020-05-21,30007,Bosscherveld,968.0,
1,2020-05-21,5012,Oldenzaal,0.0,
1,2020-05-21,3028,Sleen,0.0,
1,2020-05-21,30020,Venray,0.0,
1,2020-05-22,1033,Garmerwolde,108.0,
1,2020-05-22,23002,Terneuzen,0.0,
1,2020-05-22,21001,Walcheren,0.0,
1,2020-05-23,4027,Tollebeek,63.0,
1,2020-05-24,10027,Amersfoort,0.0,
1,2020-05-24,15005,Houtrust,662.0,
1,2020-05-25,9016,Arnhem,731.0,
1,2020-05-25,13010,Haarlem Waarderpolder,0.0,
1,2020-05-25,29003,Land Van Cuijk,91.0,
1,2020-05-25,13030,Leimuiden,84.0,
1,2020-05-25,32002,Tilburg,173.0,
1,2020-05-26,3010,Assen,0.0,
1,2020-05-26,1033,Garmerwolde,0.0,
1,2020-05-26,2032,Harlingen,0.0,
1,2020-05-26,2011,Leeuwarden,0.0,
1,2020-05-26,1008,Stadskanaal,0.0,
1,2020-05-26,10009,Utrecht,514.0,
1,2020-05-26,4026,Zwolle,21.0,
1,2020-05-27,12022,Beverwijk,0.0,
1,2020-05-27,7022,Etten,0.0,
1,2020-05-27,6004,Lelystad,267.0,
1,2020-05-27,30007,Bosscherveld,2332.0,
1,2020-05-27,5012,Oldenzaal,0.0,
1,2020-05-27,3028,Sleen,0.0,
1,2020-05-27,30020,Venray,308.0,
1,2020-05-28,25020,Kaatsheuvel,60.0,
1,2020-05-28,25027,Lage Zwaluwe,44.0,
1,2020-05-28,23002,Terneuzen,45.0,
1,2020-05-29,3010,Assen,0.0,
1,2020-05-29,1008,Stadskanaal,50.0,
1,2020-05-29,4027,Tollebeek,56.0,
1,2020-06-01,10027,Amersfoort,0.0,
1,2020-06-01,13030,Leimuiden,0.0,
1,2020-06-01,5012,Oldenzaal,0.0,
1,2020-06-01,32002,Tilburg,437.0,
1,2020-06-02,13010,Haarlem Waarderpolder,0.0,
1,2020-06-02,2032,Harlingen,0.0,
1,2020-06-02,29003,Land Van Cuijk,487.0,
1,2020-06-02,6004,Lelystad,226.0,
1,2020-06-02,10009,Utrecht,0.0,
1,2020-06-02,4026,Zwolle,180.0,
1,2020-06-03,27008,'S Hertogenbosch,220.0,
1,2020-06-03,28005,Dinther,263.0,
1,2020-06-03,7022,Etten,196.0,
1,2020-06-03,1033,Garmerwolde,110.0,
1,2020-06-03,25020,Kaatsheuvel,417.0,
1,2020-06-03,30007,Bosscherveld,763.0,
1,2020-06-03,30020,Venray,263.0,
1,2020-06-04,9016,Arnhem,25.0,
1,2020-06-04,12022,Beverwijk,417.0,
1,2020-06-04,2011,Leeuwarden,0.0,
1,2020-06-05,15005,Houtrust,109.0,
1,2020-06-05,3028,Sleen,0.0,
1,2020-06-06,23002,Terneuzen,0.0,
1,2020-06-06,21001,Walcheren,19.0,
1,2020-06-07,10027,Amersfoort,56.0,
1,2020-06-07,13010,Haarlem Waarderpolder,0.0,
1,2020-06-07,4027,Tollebeek,35.0,
1,2020-06-08,1033,Garmerwolde,29.0,
1,2020-06-08,6004,Lelystad,456.0,
1,2020-06-08,32002,Tilburg,0.0,
1,2020-06-09,3010,Assen,0.0,
1,2020-06-09,27008,'S Hertogenbosch,112.0,
1,2020-06-09,28005,Dinther,143.0,
1,2020-06-09,13030,Leimuiden,0.0,
1,2020-06-09,1008,Stadskanaal,88.0,
1,2020-06-09,10009,Utrecht,128.0,
1,2020-06-10,9016,Arnhem,40.0,
1,2020-06-10,12022,Beverwijk,0.0,
1,2020-06-10,7022,Etten,0.0,
1,2020-06-10,15005,Houtrust,299.0,
1,2020-06-10,25027,Lage Zwaluwe,0.0,
1,2020-06-10,29003,Land Van Cuijk,184.0,
1,2020-06-10,30007,Bosscherveld,399.0,
1,2020-06-10,5012,Oldenzaal,0.0,
1,2020-06-10,30020,Venray,29.0,
1,2020-06-10,4026,Zwolle,0.0,
1,2020-06-11,25020,Kaatsheuvel,157.0,
1,2020-06-11,4027,Tollebeek,567.0,
1,2020-06-11,21001,Walcheren,246.0,
1,2020-06-12,2032,Harlingen,0.0,
